# Subset of stars selected as members
ID Mag Col Mass_mu Mass_std Mass_binar_mu Mass_binar_std P_binar
"Gaia DR2 5290818758516639104" 4.19872 2.18036 4.63093 0.31306 4.63141 0.31302 0.78
"Gaia DR2 5290743648127929856" 5.14812 1.67694 4.62599 0.31136 4.59991 0.28868 0.90
"Gaia DR2 5290767631226220032" 5.79901 -0.10373 4.41024 0.30723 4.40879 0.30640 0.65
"Gaia DR2 5290847861214655616" 6.26271 -0.03224 4.40931 0.30689 4.40552 0.30463 0.69
"Gaia DR2 5290720867621791872" 6.29763 1.42790 4.49464 0.24991 4.44227 0.27973 0.67
"Gaia DR2 5290671733195996416" 6.81727 0.05900 4.36698 0.26386 4.25315 0.22499 0.56
"Gaia DR2 5290673794780227072" 7.10082 0.01924 4.27136 0.22426 4.01601 0.20307 0.58
"Gaia DR2 5290721176859357952" 7.16276 0.15892 4.24254 0.22568 4.13421 0.19895 0.46
"Gaia DR2 5290820682661822848" 7.57388 -0.01537 4.04980 0.19372 3.66669 0.16675 0.48
"Gaia DR2 5290795187736645632" 7.63591 0.01433 4.01726 0.18821 3.64720 0.18218 0.46
"Gaia DR2 5290724922070754432" 7.67674 0.10937 3.99584 0.18386 3.73951 0.16956 0.55
"Gaia DR2 5290702279003050496" 7.79665 0.09061 3.92662 0.17332 3.61459 0.16563 0.58
"Gaia DR2 5290816422049739008" 7.81304 0.11098 3.91673 0.17167 3.61634 0.15746 0.57
"Gaia DR2 5290673897859442304" 7.94717 0.09348 3.83335 0.15960 3.48826 0.15458 0.61
"Gaia DR2 5290739387520374912" 8.04110 -0.00549 3.77201 0.15204 3.42159 0.17460 0.39
"Gaia DR2 5289613208437434240" 8.07509 0.04434 3.74852 0.14828 3.39005 0.16201 0.36
"Gaia DR2 5290662383047290496" 8.13501 0.09468 3.70677 0.14281 3.32450 0.14520 0.63
"Gaia DR2 5290673760420486656" 8.17781 0.08239 3.67686 0.13932 3.30103 0.15412 0.56
"Gaia DR2 5290024533163062144" 8.26253 -0.00770 3.61783 0.13281 3.26982 0.16449 0.38
"Gaia DR2 5290722929205920640" 8.31543 0.06321 3.57754 0.12792 3.20930 0.15876 0.35
"Gaia DR2 5290832364972775808" 8.34036 0.00861 3.56003 0.12637 3.20925 0.15661 0.35
"Gaia DR2 5289877744061776896" 8.35180 0.05593 3.55062 0.12519 3.18417 0.15097 0.30
"Gaia DR2 5290818586713364352" 8.35876 0.08421 3.54479 0.12425 3.16136 0.15087 0.50
"Gaia DR2 5290769211774211968" 8.36205 0.04842 3.54332 0.12417 3.17770 0.15714 0.28
"Gaia DR2 5290722860486442752" 8.48378 0.12984 3.44821 0.11462 3.03466 0.13771 0.72
"Gaia DR2 5290814768486344320" 8.53027 0.10767 3.41275 0.11162 3.01485 0.14452 0.63
"Gaia DR2 5290795187732777088" 8.53327 0.22883 3.40629 0.11032 2.95620 0.12451 0.59
"Gaia DR2 5290669774690987776" 8.73543 0.17354 3.24750 0.09784 2.83319 0.12876 0.72
"Gaia DR2 5290718737318003840" 8.75936 0.15102 3.22936 0.09662 2.82510 0.13319 0.76
"Gaia DR2 5290816009737675392" 8.76070 0.05321 3.23304 0.09738 2.86406 0.13419 0.24
"Gaia DR2 5290722929205920896" 8.76551 0.12591 3.22576 0.09617 2.83428 0.13311 0.64
"Gaia DR2 5290949669118299776" 8.84866 0.04139 3.16364 0.09227 2.78836 0.13264 0.28
"Gaia DR2 5290723891278514048" 8.89275 0.11205 3.12431 0.08933 2.73912 0.12884 0.39
"Gaia DR2 5290706711409106304" 8.89389 0.14035 3.12184 0.08935 2.72936 0.12632 0.68
"Gaia DR2 5289781678531932672" 8.97277 0.11258 3.06014 0.08574 2.67530 0.13038 0.32
"Gaia DR2 5290720455304928512" 8.98401 0.17813 3.04727 0.08492 2.65129 0.11964 0.79
"Gaia DR2 5289743779740249728" 9.03882 0.16926 3.00376 0.08234 2.60795 0.11999 0.77
"Gaia DR2 5290767150189898496" 9.05742 0.08259 2.99402 0.08190 2.60585 0.12715 0.19
"Gaia DR2 5290696128609865600" 9.06159 0.12289 2.98832 0.08169 2.59823 0.12564 0.34
"Gaia DR2 5290882564550310016" 9.14871 0.13871 2.91800 0.07821 2.51314 0.12937 0.40
"Gaia DR2 5290738562881739648" 9.16021 0.15109 2.90787 0.07762 2.50314 0.13000 0.52
"Gaia DR2 5289732784624068736" 9.19104 0.16077 2.88281 0.07627 2.47252 0.12572 0.58
"Gaia DR2 5289938290220478848" 9.24301 0.14708 2.84254 0.07487 2.42898 0.12984 0.39
